Customer_ID,Customer_Status,Churn,Churn_Score,Churn_Category,Churn_Reason,Satisfaction_Score,CLTV,Age,Gender,Senior_Citizen,Tenure_in_Months,Contract,Monthly_Charge,Total_Charges,Total_Revenue,Internet_Service,Internet_Type,Phone_Service,Unlimited_Data,Avg_Monthly_GB_Download,Avg_Monthly_Long_Distance_Charges,City,State,Country,Payment_Method
3256-EZDBI,Stayed,0,80,,,4,6285,71,Male,1,51,Month-to-Month,$29.45,"$1,459.35","$1,459.35",1,DSL,0,1,21,$0.00,Greenville,California,United States,Credit Card
9220-CXRSC,Stayed,0,80,,,3,5266,56,Female,0,69,Two Year,$61.40,"$4,059.85","$6,755.68",1,DSL,1,1,19,$39.07,Heber,California,United States,Credit Card
9137-UIYPG,Stayed,0,80,,,3,5447,33,Female,0,35,Month-to-Month,$106.90,"$3,756.45","$4,785.13",1,Fiber Optic,1,0,56,$26.09,Butte City,California,United States,Bank Withdrawal
8232-CTLKO,Stayed,0,80,,,3,5979,58,Female,0,66,Two Year,$59.75,"$3,996.80","$4,550.54",1,DSL,1,1,16,$8.39,Ocotillo,California,United States,Bank Withdrawal
0260-ZDLGK,Churned,1,65,Competitor,Competitor made better offer,1,3585,50,Female,0,9,Month-to-Month,$72.90,$651.40,$970.81,1,Cable,1,1,11,$35.49,San Dimas,California,United States,Credit Card
6424-ELEYH,Churned,1,65,Competitor,Competitor had better devices,1,3972,39,Female,0,3,Month-to-Month,$74.75,$229.50,$335.04,1,Fiber Optic,1,1,13,$35.18,Lebec,California,United States,Credit Card
4010-YLMVT,Stayed,0,80,,,4,5056,25,Female,0,56,Month-to-Month,$106.60,"$5,893.95","$7,281.07",1,Fiber Optic,1,1,51,$24.77,Yucaipa,California,United States,Credit Card
0923-PNFUB,Churned,1,65,Attitude,Attitude of support person,2,4852,55,Female,0,3,Month-to-Month,$83.75,$247.25,$386.33,1,Fiber Optic,1,1,4,$46.36,Westlake Village,California,United States,Bank Withdrawal
9143-CANJF,Stayed,0,80,,,3,2200,29,Female,0,24,Month-to-Month,$55.15,"$1,319.85","$1,976.73",1,DSL,1,1,85,$27.37,Topaz,California,United States,Bank Withdrawal
4884-LEVMQ,Stayed,0,80,,,5,2165,39,Male,0,39,Two Year,$20.45,$790.00,"$2,209.21",0,,1,0,0,$36.39,Valley Springs,California,United States,Bank Withdrawal
9670-BPNXF,Stayed,0,80,,,3,2935,48,Female,0,45,One Year,$62.55,"$2,796.45","$3,174.45",1,DSL,1,1,8,$8.40,Glennville,California,United States,Credit Card
8495-PRWFH,Stayed,0,80,,,4,5831,66,Female,1,42,Month-to-Month,$55.65,"$2,421.75","$3,555.75",1,Cable,1,1,30,$27.00,Waterford,California,United States,Bank Withdrawal
0619-OLYUR,Stayed,0,80,,,3,6437,32,Male,0,72,Two Year,$111.90,"$8,071.05","$11,514.81",1,Fiber Optic,1,1,27,$47.83,Garden Grove,California,United States,Credit Card
4283-FUTGF,Churned,1,65,Dissatisfaction,Network reliability,3,3715,67,Male,1,19,Month-to-Month,$79.85,"$1,471.75","$1,790.57",1,Fiber Optic,1,1,15,$16.78,El Sobrante,California,United States,Bank Withdrawal
